Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (234.2 19.8 -288.5)",1,0,99,"(234.2, 19.8, -288.5)"
Spawn Point Wander,"Spawn Point (109.5 19.9 -356.5)",1,0,99,"(109.5, 19.9, -356.5)"
Spawn Point Wander,"Spawn Point (298.8 21.7 -423.2)",1,0,99,"(298.8, 21.7, -423.2)"
Spawn Point Wander,"Spawn Point (-182.7 21.5 135.7)",1,0,99,"(-182.7, 21.5, 135.7)"
Spawn Point Wander,"Spawn Point (149.9 20.0 -412.3)",1,0,99,"(149.9, 20.0, -412.3)"
Spawn Point Wander,"Spawn Point (-163.3 21.4 161.0)",1,0,99,"(-163.3, 21.4, 161.0)"
Spawn Point Wander,"Spawn Point (149.5 19.5 -408.9)",1,0,99,"(149.5, 19.5, -408.9)"
Spawn Point Wander,"Spawn Point (-93.4 27.1 139.6)",1,0,99,"(-93.4, 27.1, 139.6)"
Spawn Point Wander,"Spawn Point (-207.4 21.4 -354.6)",1,0,99,"(-207.4, 21.4, -354.6)"
Spawn Point Wander,"Spawn Point (-198.6 25.1 273.9)",1,0,99,"(-198.6, 25.1, 273.9)"
Spawn Point Wander,"Spawn Point (108.1 20.1 -355.4)",1,0,99,"(108.1, 20.1, -355.4)"
Spawn Point Wander,"Spawn Point (70.8 27.1 170.9)",1,0,99,"(70.8, 27.1, 170.9)"
Spawn Point Wander,"Spawn Point (-78.7 22.7 289.0)",1,0,99,"(-78.7, 22.7, 289.0)"
Spawn Point Wander,"Spawn Point (-253.1 21.4 -378.6)",1,0,99,"(-253.1, 21.4, -378.6)"
Spawn Point Wander,"Spawn Point (-55.0 27.1 -200.5)",1,0,99,"(-55.0, 27.1, -200.5)"
Spawn Point Wander,"Spawn Point (278.4 21.4 333.0)",1,0,99,"(278.4, 21.4, 333.0)"
Spawn Point Wander,"Spawn Point (-185.8 21.5 134.5)",1,0,99,"(-185.8, 21.5, 134.5)"
Spawn Point Wander,"Spawn Point (279.9 21.5 -7.8)",1,0,99,"(279.9, 21.5, -7.8)"
Spawn Point Wander,"Spawn Point (314.9 17.0 -137.2)",1,0,99,"(314.9, 17.0, -137.2)"
Spawn Point Wander,"Spawn Point (-84.1 27.1 77.8)",1,0,99,"(-84.1, 27.1, 77.8)"
Spawn Point Wander,"Spawn Point (385.0 15.1 -295.0)",1,0,99,"(385.0, 15.1, -295.0)"
Spawn Point Wander,"Spawn Point (277.3 21.5 -8.3)",1,0,99,"(277.3, 21.5, -8.3)"
Spawn Point Wander,"Spawn Point (59.1 36.6 -90.9)",1,0,99,"(59.1, 36.6, -90.9)"
Spawn Point Wander,"Spawn Point (298.3 21.5 -420.6)",1,0,99,"(298.3, 21.5, -420.6)"
Spawn Point Wander,"Spawn Point (-158.8 27.1 -73.6)",1,0,99,"(-158.8, 27.1, -73.6)"
Spawn Point Wander,"Spawn Point (151.3 20.0 -411.6)",1,0,99,"(151.3, 20.0, -411.6)"
Spawn Point Wander,"Spawn Point (-338.0 21.4 263.9)",1,0,99,"(-338.0, 21.4, 263.9)"
Spawn Point Wander,"Spawn Point (-196.6 24.9 273.4)",1,0,99,"(-196.6, 24.9, 273.4)"
Spawn Point Wander,"Spawn Point (-203.1 21.5 -76.3)",1,0,99,"(-203.1, 21.5, -76.3)"
Spawn Point Wander,"Spawn Point (88.4 21.4 -168.6)",1,0,99,"(88.4, 21.4, -168.6)"
Spawn Point Wander,"Spawn Point (-206.0 21.5 -77.7)",1,0,99,"(-206.0, 21.5, -77.7)"
Spawn Point Wander,"Spawn Point (148.5 19.6 -411.1)",1,0,99,"(148.5, 19.6, -411.1)"
Spawn Point Wander,"Spawn Point (59.1 21.5 270.0)",1,0,99,"(59.1, 21.5, 270.0)"
Spawn Point Wander,"Spawn Point (-218.2 21.5 5.4)",1,0,99,"(-218.2, 21.5, 5.4)"
Spawn Point Wander,"Spawn Point (109.1 20.1 -353.1)",1,0,99,"(109.1, 20.1, -353.1)"
Spawn Point Wander,"Spawn Point (-320.8 23.4 143.0)",1,0,99,"(-320.8, 23.4, 143.0)"
Spawn Point Wander,"Spawn Point (60.8 21.5 270.1)",1,0,99,"(60.8, 21.5, 270.1)"
Spawn Point Wander,"Spawn Point (5.0 21.5 253.9)",1,0,99,"(5.0, 21.5, 253.9)"
Spawn Point Wander,"Spawn Point (-27.1 27.1 -2.1)",1,0,99,"(-27.1, 27.1, -2.1)"
Spawn Point Wander,"Spawn Point (90.4 21.5 -185.4)",1,0,99,"(90.4, 21.5, -185.4)"
Spawn Point Wander,"Spawn Point (-216.3 21.5 4.1)",1,0,99,"(-216.3, 21.5, 4.1)"
Spawn Point Wander,"Spawn Point (-134.9 27.2 199.6)",1,0,99,"(-134.9, 27.2, 199.6)"
Spawn Point Wander,"Spawn Point (-335.7 21.6 259.4)",1,0,99,"(-335.7, 21.6, 259.4)"
Spawn Point Wander,"Spawn Point (295.9 21.6 -422.7)",1,0,99,"(295.9, 21.6, -422.7)"
Spawn Point Wander,"Spawn Point (-167.0 21.5 -389.2)",1,0,99,"(-167.0, 21.5, -389.2)"
Spawn Point Wander,"Spawn Point (386.0 14.8 -292.3)",1,0,99,"(386.0, 14.8, -292.3)"
Spawn Point Wander,"Spawn Point (281.2 21.4 2.1)",1,0,99,"(281.2, 21.4, 2.1)"
Spawn Point Wander,"Spawn Point (382.6 15.3 -294.7)",1,0,99,"(382.6, 15.3, -294.7)"
Spawn Point Wander,"Spawn Point (-166.6 21.5 -391.8)",1,0,99,"(-166.6, 21.5, -391.8)"
Spawn Point Wander,"Spawn Point (386.4 14.8 -293.8)",1,0,99,"(386.4, 14.8, -293.8)"
Spawn Point Wander,"Spawn Point (-28.3 21.5 74.6)",1,0,99,"(-28.3, 21.5, 74.6)"
Spawn Point Wander,"Spawn Point (7.0 27.1 -238.9)",1,0,99,"(7.0, 27.1, -238.9)"
Spawn Point Wander,"Spawn Point (383.4 15.2 -292.1)",1,0,99,"(383.4, 15.2, -292.1)"
Spawn Point Wander,"Spawn Point (61.6 21.5 268.6)",1,0,99,"(61.6, 21.5, 268.6)"
Spawn Point Wander,"Spawn Point (279.6 21.5 -10.7)",1,0,99,"(279.6, 21.5, -10.7)"
Spawn Point Wander,"Spawn Point (-14.6 22.3 -402.5)",1,0,99,"(-14.6, 22.3, -402.5)"
Spawn Point Wander,"Spawn Point (60.0 36.6 -81.9)",1,0,99,"(60.0, 36.6, -81.9)"
Spawn Point Wander,"Spawn Point (-76.9 22.4 289.9)",1,0,99,"(-76.9, 22.4, 289.9)"
Spawn Point Wander,"Spawn Point (-241.9 21.4 -376.1)",1,0,99,"(-241.9, 21.4, -376.1)"
Spawn Point Wander,"Spawn Point (60.5 36.7 -29.3)",1,0,99,"(60.5, 36.7, -29.3)"
Spawn Point Wander,"Spawn Point (-318.5 22.4 145.8)",1,0,99,"(-318.5, 22.4, 145.8)"
Spawn Point Wander,"Spawn Point (-145.8 27.2 199.6)",1,0,99,"(-145.8, 27.2, 199.6)"
Spawn Point Wander,"Spawn Point (-75.5 22.8 287.2)",1,0,99,"(-75.5, 22.8, 287.2)"
Spawn Point Wander,"Spawn Point (-35.6 27.3 -194.6)",1,0,99,"(-35.6, 27.3, -194.6)"
Spawn Point Wander,"Spawn Point (232.4 19.8 -286.6)",1,0,99,"(232.4, 19.8, -286.6)"
Spawn Point Wander,"Spawn Point (-76.8 27.1 83.5)",1,0,99,"(-76.8, 27.1, 83.5)"
Spawn Point Wander,"Spawn Point (296.9 21.4 -420.5)",1,0,99,"(296.9, 21.4, -420.5)"
Spawn Point Wander,"Spawn Point (82.1 21.5 -205.7)",1,0,99,"(82.1, 21.5, -205.7)"
Spawn Point Wander,"Spawn Point (58.8 21.5 267.9)",1,0,99,"(58.8, 21.5, 267.9)"
Spawn Point Wander,"Spawn Point (274.7 21.4 339.2)",1,0,99,"(274.7, 21.4, 339.2)"
Spawn Point Wander,"Spawn Point (-207.8 21.5 -77.9)",1,0,99,"(-207.8, 21.5, -77.9)"
Spawn Point Wander,"Spawn Point (297.3 21.8 -423.8)",1,0,99,"(297.3, 21.8, -423.8)"
Spawn Point Wander,"Spawn Point (94.1 21.6 -412.1)",1,0,99,"(94.1, 21.6, -412.1)"
Spawn Point Wander,"Spawn Point (-199.9 25.3 275.2)",1,0,99,"(-199.9, 25.3, 275.2)"
Spawn Point Wander,"Spawn Point (-158.6 27.1 -84.1)",1,0,99,"(-158.6, 27.1, -84.1)"
Spawn Point Wander,"Spawn Point (-30.0 21.5 81.8)",1,0,99,"(-30.0, 21.5, 81.8)"
Spawn Point Wander,"Spawn Point (-323.9 23.6 143.8)",1,0,99,"(-323.9, 23.6, 143.8)"
Spawn Point Wander,"Spawn Point (167.4 23.0 385.5)",1,0,99,"(167.4, 23.0, 385.5)"
Spawn Point Wander,"Spawn Point (18.9 36.6 -81.7)",1,0,99,"(18.9, 36.6, -81.7)"
Spawn Point Wander,"Spawn Point (-144.0 27.2 200.5)",1,0,99,"(-144.0, 27.2, 200.5)"
Spawn Point Wander,"Spawn Point (58.4 21.5 265.7)",1,0,99,"(58.4, 21.5, 265.7)"
Spawn Point Wander,"Spawn Point (-318.9 22.6 147.4)",1,0,99,"(-318.9, 22.6, 147.4)"
Spawn Point Wander,"Spawn Point (231.2 19.6 -287.3)",1,0,99,"(231.2, 19.6, -287.3)"
Spawn Point Wander,"Spawn Point (-135.6 27.2 201.5)",1,0,99,"(-135.6, 27.2, 201.5)"
Spawn Point Wander,"Spawn Point (59.2 36.7 -28.9)",1,0,99,"(59.2, 36.7, -28.9)"
Spawn Point Wander,"Spawn Point (-250.6 21.5 59.6)",1,0,99,"(-250.6, 21.5, 59.6)"
Spawn Point Wander,"Spawn Point (315.7 17.3 -133.9)",1,0,99,"(315.7, 17.3, -133.9)"
Spawn Point Wander,"Spawn Point (-26.3 21.5 81.6)",1,0,99,"(-26.3, 21.5, 81.6)"
Spawn Point Wander,"Spawn Point (-321.5 23.1 146.2)",1,0,99,"(-321.5, 23.1, 146.2)"
Spawn Point Wander,"Spawn Point (276.4 21.4 336.6)",1,0,99,"(276.4, 21.4, 336.6)"
Spawn Point Wander,"Spawn Point (314.4 17.1 -134.9)",1,0,99,"(314.4, 17.1, -134.9)"
Spawn Point Wander,"Spawn Point (284.0 21.4 87.4)",1,0,99,"(284.0, 21.4, 87.4)"
Spawn Point Wander,"Spawn Point (94.5 21.7 -415.5)",1,0,99,"(94.5, 21.7, -415.5)"
Spawn Point Wander,"Spawn Point (233.5 19.9 -289.8)",1,0,99,"(233.5, 19.9, -289.8)"
Spawn Point Wander,"Spawn Point (93.0 21.6 -414.4)",1,0,99,"(93.0, 21.6, -414.4)"
Spawn Point Wander,"Spawn Point (314.8 16.9 -138.6)",1,0,99,"(314.8, 16.9, -138.6)"
Spawn Point Wander,"Spawn Point (-16.0 22.4 -403.2)",1,0,99,"(-16.0, 22.4, -403.2)"
Spawn Point Wander,"Spawn Point (-65.8 27.3 -275.6)",1,0,99,"(-65.8, 27.3, -275.6)"
Spawn Point Wander,"Spawn Point (82.8 21.4 -179.8)",1,0,99,"(82.8, 21.4, -179.8)"
Spawn Point Wander,"Spawn Point (281.0 21.4 28.1)",1,0,99,"(281.0, 21.4, 28.1)"
Spawn Point Wander,"Spawn Point (-131.1 21.4 130.5)",1,0,99,"(-131.1, 21.4, 130.5)"
Spawn Point Wander,"Spawn Point (280.1 21.4 340.6)",1,0,99,"(280.1, 21.4, 340.6)"
Spawn Point Wander,"Spawn Point (283.2 21.4 83.2)",1,0,99,"(283.2, 21.4, 83.2)"
Spawn Point Wander,"Spawn Point (367.0 16.7 -187.4)",1,0,99,"(367.0, 16.7, -187.4)"
Spawn Point Wander,"Spawn Point (-155.7 27.1 -36.6)",1,0,99,"(-155.7, 27.1, -36.6)"
Spawn Point Wander,"Spawn Point (-147.5 27.2 199.3)",1,0,99,"(-147.5, 27.2, 199.3)"
Spawn Point Wander,"Spawn Point (-249.8 21.5 58.1)",1,0,99,"(-249.8, 21.5, 58.1)"
Spawn Point Wander,"Spawn Point (-16.4 22.1 -399.8)",1,0,99,"(-16.4, 22.1, -399.8)"
Spawn Point Wander,"Spawn Point (-70.5 27.1 -286.8)",1,0,99,"(-70.5, 27.1, -286.8)"
Spawn Point Wander,"Spawn Point (231.6 19.8 -289.8)",1,0,99,"(231.6, 19.8, -289.8)"
Spawn Point Wander,"Spawn Point (-186.4 21.5 132.5)",1,0,99,"(-186.4, 21.5, 132.5)"
Spawn Point Wander,"Spawn Point (2.4 21.5 255.3)",1,0,99,"(2.4, 21.5, 255.3)"
Spawn Point Wander,"Spawn Point (-70.5 27.1 -261.7)",1,0,99,"(-70.5, 27.1, -261.7)"
Spawn Point Wander,"Spawn Point (-251.0 21.5 56.4)",1,0,99,"(-251.0, 21.5, 56.4)"
Spawn Point Wander,"Spawn Point (-218.0 21.5 3.4)",1,0,99,"(-218.0, 21.5, 3.4)"
Spawn Point Wander,"Spawn Point (-74.4 22.7 288.5)",1,0,99,"(-74.4, 22.7, 288.5)"
Spawn Point Wander,"Spawn Point (163.8 22.5 383.4)",1,0,99,"(163.8, 22.5, 383.4)"
Spawn Point Wander,"Spawn Point (0.6 21.5 254.4)",1,0,99,"(0.6, 21.5, 254.4)"
Spawn Point Wander,"Spawn Point (170.4 22.8 384.5)",1,0,99,"(170.4, 22.8, 384.5)"
Spawn Point Wander,"Spawn Point (-161.6 27.1 -84.6)",1,0,99,"(-161.6, 27.1, -84.6)"
Spawn Point Wander,"Spawn Point (273.9 21.4 342.2)",1,0,99,"(273.9, 21.4, 342.2)"
Spawn Point Wander,"Spawn Point (80.9 21.6 -167.8)",1,0,99,"(80.9, 21.6, -167.8)"
Spawn Point Wander,"Spawn Point (-198.1 25.2 276.1)",1,0,99,"(-198.1, 25.2, 276.1)"
Spawn Point Wander,"Spawn Point (110.9 19.9 -355.8)",1,0,99,"(110.9, 19.9, -355.8)"
Spawn Point Wander,"Spawn Point (-77.5 22.9 287.7)",1,0,99,"(-77.5, 22.9, 287.7)"
Spawn Point Wander,"Spawn Point (56.6 27.1 -11.1)",1,0,99,"(56.6, 27.1, -11.1)"
Spawn Point Wander,"Spawn Point (364.3 16.7 -187.7)",1,0,99,"(364.3, 16.7, -187.7)"
Spawn Point Wander,"Spawn Point (1.9 21.5 253.1)",1,0,99,"(1.9, 21.5, 253.1)"
Spawn Point Wander,"Spawn Point (-138.3 27.1 153.2)",1,0,99,"(-138.3, 27.1, 153.2)"
Spawn Point Wander,"Spawn Point (-169.5 21.5 -391.3)",1,0,99,"(-169.5, 21.5, -391.3)"
Spawn Point Wander,"Spawn Point (14.9 36.6 -81.9)",1,0,99,"(14.9, 36.6, -81.9)"
Spawn Point Wander,"Spawn Point (-26.6 21.5 75.5)",1,0,99,"(-26.6, 21.5, 75.5)"
Spawn Point Wander,"Spawn Point (252.9 21.5 15.6)",1,0,99,"(252.9, 21.5, 15.6)"
Spawn Point Wander,"Spawn Point (-251.9 21.4 -375.9)",1,0,99,"(-251.9, 21.4, -375.9)"
Spawn Point Wander,"Spawn Point (-168.0 21.5 -392.5)",1,0,99,"(-168.0, 21.5, -392.5)"
Spawn Point Wander,"Spawn Point (-26.5 21.5 81.7)",1,0,99,"(-26.5, 21.5, 81.7)"
Spawn Point Wander,"Spawn Point (3.9 21.5 252.6)",1,0,99,"(3.9, 21.5, 252.6)"
Spawn Point Wander,"Spawn Point (362.8 16.6 -185.5)",1,0,99,"(362.8, 16.6, -185.5)"
Spawn Point Wander,"Spawn Point (284.3 21.4 90.9)",1,0,99,"(284.3, 21.4, 90.9)"
Spawn Point Wander,"Spawn Point (-337.6 21.4 265.8)",1,0,99,"(-337.6, 21.4, 265.8)"
Spawn Point Wander,"Spawn Point (-335.9 22.1 256.9)",1,0,99,"(-335.9, 22.1, 256.9)"
Spawn Point Wander,"Spawn Point (-69.9 27.2 -26.6)",1,0,99,"(-69.9, 27.2, -26.6)"
Spawn Point Wander,"Spawn Point (150.9 19.6 -409.0)",1,0,99,"(150.9, 19.6, -409.0)"
Spawn Point Wander,"Spawn Point (315.9 16.8 -140.8)",1,0,99,"(315.9, 16.8, -140.8)"
Spawn Point Wander,"Spawn Point (-215.2 21.5 5.8)",1,0,99,"(-215.2, 21.5, 5.8)"
Spawn Point Wander,"Spawn Point (-157.4 27.1 -72.7)",1,0,99,"(-157.4, 27.1, -72.7)"
Spawn Point Wander,"Spawn Point (-185.1 21.5 131.1)",1,0,99,"(-185.1, 21.5, 131.1)"
Spawn Point Wander,"Spawn Point (284.0 21.4 85.4)",1,0,99,"(284.0, 21.4, 85.4)"
Spawn Point Wander,"Spawn Point (280.6 21.5 -9.2)",1,0,99,"(280.6, 21.5, -9.2)"
Spawn Point Wander,"Spawn Point (-201.0 21.5 -75.4)",1,0,99,"(-201.0, 21.5, -75.4)"
Spawn Point Wander,"Spawn Point (277.3 21.5 -9.7)",1,0,99,"(277.3, 21.5, -9.7)"
Spawn Point Wander,"Spawn Point (-17.5 22.6 -402.1)",1,0,99,"(-17.5, 22.6, -402.1)"
Spawn Point Wander,"Spawn Point (-83.2 27.1 140.1)",1,0,99,"(-83.2, 27.1, 140.1)"
Spawn Point Wander,"Spawn Point (73.6 27.1 170.9)",1,0,99,"(73.6, 27.1, 170.9)"
Spawn Point Wander,"Spawn Point (-195.5 24.9 274.7)",1,0,99,"(-195.5, 24.9, 274.7)"
Spawn Point Wander,"Spawn Point (-215.1 21.5 7.4)",1,0,99,"(-215.1, 21.5, 7.4)"
Spawn Point Wander,"Spawn Point (95.5 21.6 -412.2)",1,0,99,"(95.5, 21.6, -412.2)"
Spawn Point Wander,"Spawn Point (264.7 21.3 -1.2)",1,0,99,"(264.7, 21.3, -1.2)"
Spawn Point Wander,"Spawn Point (-252.6 21.5 55.7)",1,0,99,"(-252.6, 21.5, 55.7)"
Spawn Point Wander,"Spawn Point (-24.2 27.1 -0.7)",1,0,99,"(-24.2, 27.1, -0.7)"
Spawn Point Wander,"Spawn Point (-70.0 27.2 -27.9)",1,0,99,"(-70.0, 27.2, -27.9)"
Spawn Point Wander,"Spawn Point (174.3 22.9 384.2)",1,0,99,"(174.3, 22.9, 384.2)"
Spawn Point Wander,"Spawn Point (-15.0 21.8 -399.9)",1,0,99,"(-15.0, 21.8, -399.9)"
Spawn Point Wander,"Spawn Point (284.2 21.4 89.2)",1,0,99,"(284.2, 21.4, 89.2)"
Spawn Point Wander,"Spawn Point (-154.5 21.4 159.3)",1,0,99,"(-154.5, 21.4, 159.3)"
Spawn Point Wander,"Spawn Point (95.9 21.7 -414.8)",1,0,99,"(95.9, 21.7, -414.8)"
Spawn Point Wander,"Spawn Point (-168.4 21.5 -389.1)",1,0,99,"(-168.4, 21.5, -389.1)"
Spawn Point Wander,"Spawn Point (-69.6 27.2 -99.7)",1,0,99,"(-69.6, 27.2, -99.7)"
Spawn Point Wander,"Spawn Point (162.4 22.3 381.5)",1,0,99,"(162.4, 22.3, 381.5)"
Spawn Point Wander,"Spawn Point (-51.9 27.1 -204.1)",1,0,99,"(-51.9, 27.1, -204.1)"
Spawn Point Wander,"Spawn Point (364.1 16.8 -189.0)",1,0,99,"(364.1, 16.8, -189.0)"
Spawn Rush,"Spawn Rush: Objective #1",1,0,99,"(-216.3, 21.4, 4.1)"
Boss Hunter,"Spawn Point (59.1 36.6 -87.4)",1,15,99,"(59.1, 36.6, -87.4)"
Boss Hunter,"Spawn Point (59.1 36.6 -90.9)",1,15,99,"(59.1, 36.6, -90.9)"
Boss Hunter,"Spawn Point (60.0 36.6 -81.9)",1,15,99,"(60.0, 36.6, -81.9)"
Boss Hunter,"Spawn Point (60.5 36.7 -29.3)",1,15,99,"(60.5, 36.7, -29.3)"
Boss Hunter,"Spawn Point (18.9 36.6 -81.7)",1,15,99,"(18.9, 36.6, -81.7)"
Boss Hunter,"Spawn Point (59.2 36.7 -28.9)",1,15,99,"(59.2, 36.7, -28.9)"
Boss Hunter,"Spawn Point (14.9 36.6 -81.9)",1,15,99,"(14.9, 36.6, -81.9)"
Power Station Switch,"Power Station Switch: Objective #1",2,0,99,"(-202.2, 21.4, -357.1)"
KIBA Alarm Panel 1,"KIBA Alarm Panel 1: Objective #1",2,0,99,"(-67.0, 27.1, 52.7)"
KIBA Alarm Panel 2,"KIBA Alarm Panel 2: Objective #1",2,0,99,"(-47.3, 36.6, -54.5)"
Hidden Panel,"Hidden Panel: Objective #1",2,0,99,"(-51.0, 36.6, -123.9)"
Safe Room Area,"Safe Room Area: Objective #1",1,0,99,"(-73.3, 21.4, 56.2)"
Safe Room Area,"Safe Room Area: Objective #2",1,0,99,"(-51.3, 21.4, 56.0)"
Safe Room,"Safe Room: Objective #1",2,15,99,"(-47.5, 21.4, 43.0)"
Pharmacy,"Pharmacy: Objective #1",1,15,99,"(61.0, 21.5, -254.6)"
Techlight,"Techlight: Objective #1",3,0,99,"(96.8, 36.6, 48.9)"
Techlight,"Techlight: Objective #2",3,0,99,"(86.8, 36.6, 65.8)"
ULTRA Medical Storage,"ULTRA Medical Storage: Objective #1",1,15,99,"(65.5, 36.6, 39.5)"
KIBA Investigate,"KIBA Investigate: Objective #1",2,5,99,"(-13.1, 27.1, -31.6)"
KIBA,"KIBA: Objective #1",5,15,99,"(-13.1, 27.1, -31.6)"
Killa's Stash,"Killa's Stash: Objective #1",1,15,99,"(-59.3, 21.6, -291.1)"
21WS Container,"21WS Container: Objective #1",1,15,99,"(138.4, 24.0, 260.8)"
Power Station,"Power Station: Objective #1",3,0,99,"(-207.8, 21.4, -347.5)"
Power Station,"Power Station: Objective #2",2,0,99,"(-205.7, 21.5, -361.1)"
Goshan Food Spawns,"Goshan Food Spawns: Objective #1",4,0,99,"(-129.0, 27.1, -158.1)"
Goshan Food Spawns,"Goshan Food Spawns: Objective #2",4,0,99,"(-117.5, 27.1, -169.7)"
Goshan Food Spawns,"Goshan Food Spawns: Objective #3",4,0,99,"(-111.4, 27.1, -159.9)"
OLI Logistics Area,"OLI Logistics Area: Objective #1",1,0,99,"(64.6, 27.1, 125.5)"
OLI Logistics Area,"OLI Logistics Area: Objective #2",1,0,99,"(85.5, 27.1, 100.5)"
OLI Logistics Area,"OLI Logistics Area: Objective #3",1,0,99,"(76.7, 27.1, 120.2)"
OLI Logistics Area,"OLI Logistics Area: Objective #4",1,0,99,"(86.3, 27.1, 118.7)"
OLI Logistics Area,"OLI Logistics Area: Objective #5",1,0,99,"(87.1, 27.1, 127.7)"
OLI Logistics Area,"OLI Logistics Area: Objective #6",1,0,99,"(88.9, 27.1, 131.9)"
IDEA Office,"IDEA Office: Objective #1",2,0,99,"(10.6, 27.1, -300.2)"
IDEA Office,"IDEA Office: Objective #2",3,0,99,"(5.4, 27.1, -293.1)"
IDEA Office,"IDEA Office: Objective #3",1,0,99,"(-17.8, 27.1, -300.5)"
Emercom,"Emercom: Objective #1",1,15,99,"(11.5, 27.1, -108.7)"
Emercom,"Emercom: Objective #2",1,15,99,"(22.1, 27.1, -102.5)"
Emercom,"Emercom: Objective #3",1,15,99,"(31.5, 27.1, -102.5)"
Mantis,"Mantis: Objective #1",1,0,99,"(6.5, 27.1, -79.8)"
Mantis,"Mantis: Objective #2",1,0,99,"(29.6, 27.1, -77.0)"
Mantis,"Mantis: Objective #3",1,0,99,"(24.9, 27.2, -64.4)"
Mantis,"Mantis: Objective #4",1,0,99,"(5.9, 27.1, -66.4)"
Generic,"Generic: Objective #1",1,0,99,"(-14.2, 27.1, -10.3)"
Generic,"Generic: Objective #2",1,0,99,"(-26.5, 27.1, -7.3)"
Generic,"Generic: Objective #3",1,0,99,"(-35.0, 27.1, -0.1)"
East Wall Container,"East Wall Container: Objective #1",1,0,99,"(-210.6, 21.5, -153.8)"
Power Station Stashes,"Power Station Stashes: Objective #1",1,0,99,"(-254.8, 21.4, -256.5)"
